Data,susp,neg,pos
2020-01-30,9,6,0
2020-01-31,13,9,0
2020-02-01,16,10,0
2020-02-02,16,10,0
2020-02-03,14,13,0
2020-02-04,13,16,0
2020-02-05,11,21,0
2020-02-06,18,48,0
2020-02-07,8,26,0
2020-02-08,8,28,0
2020-02-09,11,28,0
2020-02-10,7,32,0
2020-02-11,8,33,0
2020-02-12,11,33,0
2020-02-13,6,40,0
2020-02-14,4,43,0
2020-02-15,3,45,0
2020-02-16,3,45,0
2020-02-17,3,45,0
2020-02-18,5,45,0
2020-02-19,2,48,0
2020-02-20,1,50,0
2020-02-21,1,51,0
2020-02-22,1,52,0
2020-02-23,2,53,0
2020-02-24,4,54,0
2020-02-25,8,110,0
2020-02-26,20,59,1
2020-02-27,132,60,1
2020-02-28,182,71,1
2020-02-29,207,79,2
2020-03-01,252,89,2
2020-03-02,433,162,2
2020-03-03,488,240,2
2020-03-04,530,315,3
2020-03-05,636,378,7
2020-03-06,768,480,13
2020-03-07,674,602,19
2020-03-08,663,632,25
2020-03-10,893,780,34
2020-03-11,907,935,52
2020-03-12,1422,1163,77
2020-03-13,1485,1344,98
2020-03-14,1496,1413,121
2020-03-15,1913,1486,200
2020-03-16,2064,1624,234
